sensor_type,timestamp,sensor_0,sensor_1,sensor_2,estimate_x,estimate_y,estimate_vx,estimate_vy,ground_truth_x,ground_truth_y,ground_truth_vx,ground_truth_vy,rmse_x,rmse_y,rmse_vx,rmse_vy
0,1477010444600000,8.74615,1.04858,,8.83103,0.999216,5.2743,0.718217,8.85775,1.10473,5.05216,0.919037,0.0655616,0.0863718,1.18344,0.532356
1,1477010444650000,9.94666,0.115056,5.2408,9.1237,1.04208,5.26516,0.763758,9.1101,1.15208,5.03798,0.974245,0.0646323,0.0871584,1.16656,0.525709
0,1477010444700000,9.25579,1.04913,,9.36465,1.07218,5.21661,0.772985,9.36172,1.20223,5.0228,1.03082,0.0637042,0.0886722,1.15024,0.519974
1,1477010444750000,10.216,0.14981,5.31165,9.64553,1.15418,5.25762,0.939396,9.61255,1.25524,5.00656,1.08873,0.0630533,0.0890396,1.13492,0.513305
0,1477010444800000,10.0484,1.44598,,9.92563,1.28978,5.26061,1.25262,9.86254,1.31118,4.98922,1.14794,0.063054,0.0878985,1.12037,0.506614
1,1477010444850000,10.6781,0.162309,4.80661,10.1703,1.38922,4.886,1.35283,10.1117,1.37011,4.97074,1.20841,0.0629419,0.0867896,1.10561,0.500452
0,1477010444900000,10.2492,1.45907,,10.3854,1.46305,4.80699,1.43064,10.3598,1.4321,4.95106,1.2701,0.0622646,0.0858129,1.09159,0.494663
1,1477010444950000,11.0406,0.154906,4.56401,10.6155,1.54838,4.55304,1.47783,10.6069,1.49721,4.93014,1.33298,0.0614964,0.0851189,1.07951,0.488977
0,1477010445000000,10.7313,1.45265,,10.8277,1.56327,4.51181,1.37824,10.853,1.56549,4.90794,1.39701,0.0608697,0.0840751,1.06806,0.482986
1,1477010445050000,11.5668,0.123838,5.14205,11.0986,1.61852,4.84591,1.4597,11.0979,1.637,4.8844,1.46213,0.0601408,0.0831171,1.05528,0.477202
0,1477010445100000,11.587,1.61462,,11.3844,1.65644,4.92807,1.40536,11.3416,1.71179,4.85948,1.52832,0.0597942,0.0825776,1.04299,0.471993
1,1477010445150000,11.5791,0.133321,4.86948,11.614,1.71057,4.78679,1.37748,11.584,1.78992,4.83313,1.59551,0.0592832,0.0825058,1.03109,0.467755
0,1477010445200000,11.7788,1.74591,,11.8407,1.76961,4.75153,1.38941,11.8251,1.87144,4.80531,1.66366,0.0586669,0.0829842,1.0196,0.464331
1,1477010445250000,12.3248,0.175289,5.27755,12.0991,1.86816,4.98337,1.56808,12.0647,1.95639,4.77598,1.73273,0.0582462,0.0831018,1.00892,0.459898
0,1477010445300000,12.3226,1.78353,,12.3485,1.88502,4.98308,1.42548,12.3029,2.04482,4.74508,1.80265,0.058006,0.0854533,0.998737,0.458293
1,1477010445350000,12.6709,0.140728,5.31674,12.6056,1.94598,5.09901,1.45064,12.5394,2.13677,4.71257,1.87338,0.0581882,0.0889294,0.989852,0.457581
0,1477010445400000,12.5924,2.17509,,12.8076,2.09057,4.96364,1.70124,12.7743,2.23227,4.67842,1.94485,0.0577866,0.090315,0.980546,0.454222
